,date,HOME,AWAY,ELO_H,ELO_A,H_SCORE,A_SCORE,LAST_5_H,LAST_5_A,A_SCORE,BACK_H,BACK_A,WL
235,11/18/2018,MIA,LAL,1473.829921,1508.522767,97,113,107.4,113,113,0,1,0
236,11/18/2018,WAS,POR,1441.132312,1600.807865,109,119,112.8,109.4,119,0,0,0
237,11/18/2018,SAS,GSW,1494.050029,1658.817593,104,92,98,107.4,92,0,1,1
238,11/19/2018,DET,CLE,1486.717226,1437.001656,113,102,110.2,98.4,102,0,0,1
239,11/19/2018,IND,UTA,1567.309174,1573.16069,121,94,100.6,98.4,94,0,0,1
240,11/19/2018,PHI,PHO,1582.684988,1303.322996,119,114,114.2,105,114,0,0,1
241,11/19/2018,CHA,BOS,1513.261379,1571.604493,117,112,113.2,105.8,112,0,0,1
242,11/19/2018,ATL,LAC,1329.141028,1574.623461,119,127,100,119.4,127,0,0,0
243,11/19/2018,MIL,DEN,1621.690731,1574.982969,104,98,123.4,115.2,98,0,0,1
244,11/19/2018,NOP,SAS,1581.338548,1508.583687,140,126,119.8,101.2,126,0,1,1
245,11/19/2018,MEM,DAL,1472.657653,1454.631964,98,88,105.6,109.2,88,1,0,1
246,11/19/2018,SAC,OKC,1442.274723,1587.710252,117,113,105.4,110,113,0,0,1
247,11/20/2018,ORL,TOR,1418.348789,1624.081523,91,93,119.2,116,93,0,0,0
248,11/20/2018,WAS,LAC,1432.91234,1579.536779,125,118,113,123.8,118,0,1,1
249,11/20/2018,MIA,BKN,1456.240472,1456.014389,92,104,106.4,110.8,104,0,0,0
250,11/20/2018,NYK,POR,1361.419553,1609.027837,114,118,109,109.6,118,0,0,0
251,11/21/2018,CHA,IND,1519.259128,1581.165848,127,109,114,106,109,0,0,1
252,11/21/2018,PHI,NOP,1583.777895,1587.441277,121,120,116.8,124,120,0,0,1
253,11/21/2018,ATL,TOR,1324.22771,1627.221144,108,124,102,109,124,0,1,0
254,11/21/2018,BOS,NYK,1565.606744,1358.031408,109,117,105.2,109.4,117,0,1,0
255,11/21/2018,CHI,PHO,1331.236513,1302.230088,124,116,93.2,106,116,0,0,1
256,11/21/2018,CLE,LAL,1431.161364,1526.112216,105,109,98.8,112.8,109,0,0,0
257,11/21/2018,HOU,DET,1610.733073,1492.557517,126,124,110.4,109.8,124,0,0,1
258,11/21/2018,MIL,POR,1625.851114,1612.415982,143,100,117.4,110,100,0,1,1
259,11/21/2018,MIN,DEN,1492.51597,1570.822586,101,103,107.2,112.8,103,0,0,0
260,11/21/2018,SAS,MEM,1502.480958,1479.037143,103,104,107.2,102.8,104,0,0,0
261,11/21/2018,DAL,BKN,1448.252474,1472.216318,119,113,106.4,111.6,113,0,1,1
262,11/21/2018,UTA,SAC,1559.304015,1449.691043,110,119,92.6,104.6,119,0,0,0
263,11/21/2018,GSW,OKC,1644.283936,1580.293932,95,123,102.6,113,123,0,0,0
264,11/23/2018,BKN,MIN,1466.497269,1487.292144,102,112,111.6,105.4,112,0,0,0
265,11/23/2018,LAC,MEM,1569.632353,1485.051573,112,107,121.8,106,107,0,0,1
266,11/23/2018,DET,HOU,1490.733631,1612.556959,116,111,114,117.8,111,0,0,1
267,11/23/2018,PHI,CLE,1586.515917,1424.71907,112,121,116.2,102.6,121,0,0,0
268,11/23/2018,TOR,WAS,1632.956885,1442.816766,125,107,111.8,114.8,107,0,0,1
269,11/23/2018,NYK,NOP,1378.612637,1584.703255,114,109,115,122.8,109,0,0,1
270,11/23/2018,ATL,BOS,1318.491969,1545.025515,96,114,102.4,108.2,114,0,0,0
271,11/23/2018,CHI,MIA,1336.543694,1440.038543,96,103,98.2,102.8,103,0,0,0
272,11/23/2018,OKC,CHA,1614.761522,1532.425166,109,104,118.4,113,104,0,0,1
273,11/23/2018,IND,SAS,1567.99981,1496.466528,100,111,105.8,108,111,0,0,0
274,11/23/2018,MIL,PHO,1643.752193,1296.922908,114,116,120.8,109.4,116,0,0,0
275,11/23/2018,DEN,ORL,1576.046412,1415.209169,112,87,110.6,114.4,87,0,0,1
276,11/23/2018,LAL,UTA,1532.55451,1541.300744,90,83,114.4,95.4,83,0,0,1
277,11/23/2018,GSW,POR,1609.816346,1594.514903,125,97,98.4,110,97,0,0,1
278,11/24/2018,CLE,HOU,1444.877639,1604.945238,117,108,107.2,117,108,1,1,1
279,11/24/2018,WAS,NOP,1438.900706,1574.735383,124,114,112.8,124.6,114,1,1,1
280,11/24/2018,MIN,CHI,1500.854657,1328.23877,111,96,103.8,97.8,96,1,1,1
281,11/24/2018,OKC,DEN,1617.946507,1581.82658,98,105,116.6,113.2,105,1,1,0
282,11/24/2018,GSW,SAC,1622.761106,1467.694315,117,116,101.4,111.2,116,1,0,1
283,11/24/2018,DAL,BOS,1453.971524,1554.030518,113,104,108,108.8,104,0,1,1
284,11/24/2018,MIL,SAS,1629.779342,1515.063878,135,129,119.4,111,129,1,1,1
